President,SOTU,Month_Day,Year,Speech_Start_Line,Speech_End_Line
George Washington, State of the Union Address, January 8, 1790,231,362
George Washington, State of the Union Address, December 8, 1790,362,514
George Washington, State of the Union Address, October 25, 1791,514,775
George Washington, State of the Union Address, November 6, 1792,775,1010
George Washington, State of the Union Address, December 3, 1793,1010,1217
George Washington, State of the Union Address, November 19, 1794,1217,1518
George Washington, State of the Union Address, December 8, 1795,1518,1734
George Washington, State of the Union Address, December 7, 1796,1734,2038
John Adams, State of the Union Address, November 22, 1797,2038,2254
John Adams, State of the Union Address, December 8, 1798,2254,2490
John Adams, State of the Union Address, December 3, 1799,2490,2649
John Adams, State of the Union Address, November 11, 1800,2649,2803
Thomas Jefferson, State of the Union Address, December 8, 1801,2803,3130
Thomas Jefferson, State of the Union Address, December 15, 1802,3130,3347
Thomas Jefferson, State of the Union Address, October 17, 1803,3347,3582
Thomas Jefferson, State of the Union Address, November 8, 1804,3582,3796
Thomas Jefferson, State of the Union Address, December 3, 1805,3796,4085
Thomas Jefferson, State of the Union Address, December 2, 1806,4085,4374
Thomas Jefferson, State of the Union Address, October 27, 1807,4374,4618
Thomas Jefferson, State of the Union Address, November 8, 1808,4618,4884
James Madison, State of the Union Address, November 29, 1809,4884,5072
James Madison, State of the Union Address, December 5, 1810,5072,5330
James Madison, State of the Union Address, November 5, 1811,5330,5574
James Madison, State of the Union Address, November 4, 1812,5574,5910
James Madison, State of the Union Address, December 7, 1813,5910,6251
James Madison, State of the Union Address, September 20, 1814,6251,6469
James Madison, State of the Union Address, December 5, 1815,6469,6793
James Madison, State of the Union Address, December 3, 1816,6793,7132
James Monroe, State of the Union Address, December 12, 1817,7132,7575
James Monroe, State of the Union Address, November 16, 1818,7575,8023
James Monroe, State of the Union Address, December 7, 1819,8023,8492
James Monroe, State of the Union Address, November 14, 1820,8492,8840
James Monroe, State of the Union Address, December 3, 1821,8840,9411
James Monroe, State of the Union Address, December 3, 1822,9411,9884
James Monroe, State of the Union Address, December 2, 1823,9884,10539
James Monroe, State of the Union Address, December 7, 1824,10539,11373
John Quincy Adams, State of the Union Address, December 6, 1825,11373,12246
John Quincy Adams, State of the Union Address, December 5, 1826,12246,12997
John Quincy Adams, State of the Union Address, December 4, 1827,12997,13689
John Quincy Adams, State of the Union Address, December 2, 1828,13689,14419
Andrew Jackson, State of the Union Address, December 8, 1829,14419,15444
Andrew Jackson, State of the Union Address, December 6, 1830,15444,16928
Andrew Jackson, State of the Union Address, December 6, 1831,16928,17629
Andrew Jackson, State of the Union Address, December 4, 1832,17629,18397
Andrew Jackson, State of the Union Address, December 3, 1833,18397,19168
Andrew Jackson, State of the Union Address, December 1, 1834,19168,20487
Andrew Jackson, State of the Union Address, December 7, 1835,20487,21539
Andrew Jackson, State of the Union Address, December 5, 1836,21539,22743
Martin van Buren, State of the Union Address, December 5, 1837,22743,23845
Martin van Buren, State of the Union Address, December 3, 1838,23845,24957
Martin van Buren, State of the Union Address, December 2, 1839,24957,26224
Martin van Buren, State of the Union Address, December 5, 1840,26224,27097
John Tyler, State of the Union Address, December 7, 1841,27097,27857
John Tyler, State of the Union Address, December 6, 1842,27857,28634
John Tyler, State of the Union Address, December 6, 1843,28634,29383
John Tyler, State of the Union Address, December 3, 1844,29383,30252
James Polk, State of the Union Address, December 2, 1845,30252,31754
James Polk, State of the Union Address, December 8, 1846,31754,33462
James Polk, State of the Union Address, December 7, 1847,33462,35041
James Polk, State of the Union Address, December 5, 1848,35041,37115
Zachary Taylor, State of the Union Address, December 4, 1849,37115,37873
Millard Fillmore, State of the Union Address, December 2, 1850,37873,38685
Millard Fillmore, State of the Union Address, December 2, 1851,38685,40000
Millard Fillmore, State of the Union Address, December 6, 1852,40000,40963
Franklin Pierce, State of the Union Address, December 5, 1853,40963,41914
Franklin Pierce, State of the Union Address, December 4, 1854,41914,42870
Franklin Pierce, State of the Union Address, December 31, 1855,42870,44029
Franklin Pierce, State of the Union Address, December 2, 1856,44029,45065
James Buchanan, State of the Union Address, December 8, 1857,45065,46397
James Buchanan, State of the Union Address, December 6, 1858,46397,47978
James Buchanan, State of the Union Address, December 19, 1859,47978,49143
James Buchanan, State of the Union Address, December 3, 1860,49143,50531
Abraham Lincoln, State of the Union Address, December 3, 1861,50531,51244
Abraham Lincoln, State of the Union Address, December 1, 1862,51244,52095
Abraham Lincoln, State of the Union Address, December 8, 1863,52095,52708
Abraham Lincoln, State of the Union Address, December 6, 1864,52708,53362
Andrew Johnson, State of the Union Address, December 4, 1865,53362,54206
Andrew Johnson, State of the Union Address, December 3, 1866,54206,54906
Andrew Johnson, State of the Union Address, December 3, 1867,54906,56018
Andrew Johnson, State of the Union Address, December 9, 1868,56018,57002
Ulysses S. Grant, State of the Union Address, December 6, 1869,57002,57763
Ulysses S. Grant, State of the Union Address, December 5, 1870,57763,58607
Ulysses S. Grant, State of the Union Address, December 4, 1871,58607,59285
Ulysses S. Grant, State of the Union Address, December 2, 1872,59285,59716
Ulysses S. Grant, State of the Union Address, December 1, 1873,59716,60744
Ulysses S. Grant, State of the Union Address, December 7, 1874,60744,61632
Ulysses S. Grant, State of the Union Address, December 7, 1875,61632,62854
Ulysses S. Grant, State of the Union Address, December 5, 1876,62854,63555
Rutherford B. Hayes, State of the Union Address, December 3, 1877,63555,64352
Rutherford B. Hayes, State of the Union Address, December 2, 1878,64352,65157
Rutherford B. Hayes, State of the Union Address, December 1, 1879,65157,66351
Rutherford B. Hayes, State of the Union Address, December 6, 1880,66351,67051
Chester A. Arthur, State of the Union Address, December 6, 1881,67051,67540
Chester A. Arthur, State of the Union Address, December 4, 1882,67540,67947
Chester A. Arthur, State of the Union Address, December 4, 1883,67947,68452
Chester A. Arthur, State of the Union Address, December 1, 1884,68452,69493
